1:Date 2:Time 3:Temperature_Comedor_Sensor 4:Temperature_Habitacion_Sensor 5:Weather_Temperature 6:CO2_Comedor_Sensor 7:CO2_Habitacion_Sensor 8:Humedad_Comedor_Sensor 9:Humedad_Habitacion_Sensor 10:Lighting_Comedor_Sensor 11:Lighting_Habitacion_Sensor 12:Precipitacion 13:Meteo_Exterior_Crepusculo 14:Meteo_Exterior_Viento 15:Meteo_Exterior_Sol_Oest 16:Meteo_Exterior_Sol_Est 17:Meteo_Exterior_Sol_Sud 18:Meteo_Exterior_Piranometro 19:Exterior_Entalpic_1 20:Exterior_Entalpic_2 21:Exterior_Entalpic_turbo 22:Temperature_Exterior_Sensor 23:Humedad_Exterior_Sensor 24:Day_Of_Week
13/03/2012 11:45 18.1875 17.8275 0 216.56 221.92 39.9125 42.415 81.665 113.52 0 623.36 1.42625 9690.24 12604.2 95436.8 758.88 0 0 0 18.115 48.375 2
13/03/2012 12:00 18.4633 18.1207 6.8 219.947 220.363 39.9267 42.2453 81.7413 113.605 0 623.211 1.592 11022 10787.2 95436.8 762.069 0 0 0 18.4147 47.808 2
13/03/2012 12:15 18.7673 18.4367 17 219.403 218.933 39.772 42.2267 81.424 113.6 0 622.656 1.89133 13960.5 9669.63 95398.6 766.251 0 0 0 18.8533 47.432 2
13/03/2012 12:30 19.0727 18.7513 18 218.613 217.045 39.776 42.0987 81.5013 113.344 0 622.571 1.828 18511.2 9648.13 95360.3 766.037 0 0 0 19.2907 47.024 2
13/03/2012 12:45 19.3721 19.0414 20 217.714 216.08 39.7757 42.0686 81.4657 113.034 0 622.4 2.36071 26349 9208.32 95354.9 762.743 0 0 0 19.74 45.4743 2
13/03/2012 13:00 19.6407 19.2773 20 218.389 216.011 39.8107 42.0347 81.2427 113.6 0 622.4 2.06333 36511.7 8694.78 95354.9 752.683 0 0 0 20.166 45.5467 2
13/03/2012 13:15 19.912 19.5367 20 218.155 215.829 39.8613 41.9947 81.36 112.981 0 622.4 2.23067 49288.5 8501.25 95354.9 740.949 0 0 0 20.566 44.968 2
13/03/2012 13:30 20.164 19.7307 20 216.661 215.296 39.824 41.9947 81.024 111.259 0 621.803 1.924 62253.7 8687.62 95174.7 721.109 0 0 0 20.8427 45.1813 2
13/03/2012 13:45 20.412 19.9693 20 217.461 214.549 39.9587 42.1253 81.104 83.3547 0 620.651 2.51067 71453.4 8888.32 91848.7 699.392 0 0 0 21.204 45.416 2
11/04/2012 04:15 21.6747 21.304 15 189.995 191.307 41.2133 41.4773 11.5073 12.94 0 0.65 0.712 0 0 0 -3.708 0 0 0 17.5033 48.2 3
11/04/2012 04:30 21.5653 21.216 15 189.227 192.011 41.2667 41.5493 11.524 13.72 0 0.65 0.475333 0 0 0 -3.44667 0 0 0 17.3287 48.528 3
11/04/2012 04:45 21.476 21.1093 15 190.24 191.915 41.312 41.592 11.5073 12.696 0 0.65 0.427333 0 0 0 -3.708 0 0 0 17.162 48.232 3
11/04/2012 05:00 21.3627 21.0013 15 190.464 192.032 41.2907 41.656 11.524 13.2 0 1.794 0.850667 0 0 0 -3.512 0 0 0 17.0273 48.2293 3
11/04/2012 05:15 21.256 20.896 13.6667 190.304 192 41.2427 41.68 11.6053 13.1027 0 31.132 0.565333 0 0 0 -3.708 0 0 0 16.838 48.8693 3
11/04/2012 05:30 21.152 20.8187 13 190.539 192.181 41.312 41.688 11.4427 12.94 0 392.603 0.0746667 0 0 0 -3.434 0 0 0 16.618 49.296 3
11/04/2012 05:45 21.0413 20.7053 12.1333 190.421 193.067 41.3173 41.72 11.6867 19.32 0 613.12 0 465.92 2716.67 523.264 3.852 0 0 0 16.4013 50.0373 3
11/04/2012 06:00 20.9347 20.5827 12 190.432 193.653 41.3333 41.7573 19.5387 23.2427 0 613.803 0.310667 3454.98 16203.8 3347.46 26.83 0 0 0 16.2607 50.0587 3
11/04/2012 06:15 20.856 20.52 12 191.531 193.387 41.3093 41.8107 20.9853 23.44 0 615.403 0.299333 6795.26 38303.1 7110.66 66.9493 0 0 0 16.2367 49.84 3
11/04/2012 06:30 20.7627 20.44 12.1333 191.563 193.664 41.28 41.8373 20.562 22.308 0 616.725 0.908 8952.83 51347.5 10270.7 112.267 0 0 0 16.286 50.2987 3
